Component1,Component2,Component3,Component4,Component5,Label
-21.09438,10.072258,7.7273507,13.7149935,-13.915147,66
17.501778,5.731288,7.046157,-12.8522835,8.38076,61
6.485985,-3.5129828,2.7157655,-14.351631,-10.0518465,60
-13.340456,-4.4341097,-10.128072,16.307981,9.010395,64
0.23732562,11.124323,21.176743,0.5132804,5.1730056,48
-15.063368,4.055276,-8.377958,8.065988,5.27624,54
13.606733,5.6569705,17.721344,-1.4702945,1.3291574,78
-14.660833,4.4397783,16.007326,11.952959,7.7695036,33
-14.949373,3.5855312,-2.4073505,-14.029729,-11.380877,44
-0.16624601,-3.6442723,4.015788,-17.748653,3.4346893,63
9.113859,-10.27241,10.88252,2.858505,-2.4611316,80
13.143828,-1.172996,-4.1884737,-13.524443,-3.5667953,84
-6.191502,18.367323,-9.004174,-7.0206294,-5.950411,13
-13.918536,-4.393492,-10.1831875,14.409933,-0.035590157,24
8.566388,11.176777,9.011154,6.474456,-11.06205,43
6.666736,-2.3724308,-3.103841,-12.902698,-2.4223778,74
2.2139657,-8.030088,16.90323,9.34045,-13.846178,80
-1.467198,15.85039,-3.7900913,15.7621355,8.274367,84
20.173666,20.650558,5.3421216,-0.83857346,1.7084937,63
-8.096873,-11.558067,-8.776641,-7.5509553,4.4950156,21
19.865858,16.68385,-7.752802,10.832083,13.963436,78
-9.0312805,18.361462,-11.641381,-2.3652208,-0.67618686,35
17.041668,-2.713602,-16.241508,-3.2951243,-8.715609,44
-7.78085,4.727407,0.6403174,7.1316247,-2.3672726,46
19.652906,2.0956717,4.969565,-4.9157863,10.672986,58
-5.115904,-0.63442,8.911758,12.636805,0.34275338,80
-17.696367,-19.453602,1.0943787,9.070328,-9.917302,49
-3.6880453,-11.01661,-13.813818,-4.8355007,0.9596634,19
15.065215,9.531123,8.500898,5.4616313,0.9418885,44
-18.643545,-4.8436623,-8.541229,1.198939,6.1161675,42
-0.696875,11.476149,-8.273086,-4.904426,1.8646808,53
22.91774,-10.354347,-11.212699,10.821067,5.493445,65
0.7304558,6.563114,-12.207691,3.3675475,5.5771804,54
5.818433,14.718686,5.284096,4.624094,3.6995533,47
-2.2138321,-18.505066,0.37989262,1.5168258,-15.121147,40
-16.676401,-14.84259,-15.803938,-5.1081004,7.587791,46
-13.751594,8.170744,6.142358,4.5492096,8.481315,77
11.379343,16.696674,13.769823,-8.032838,-7.479853,45
15.187367,5.9953995,4.2980394,-5.3475323,9.411585,60
-7.1111956,3.3767452,-5.36916,9.619911,-7.9781575,53
-5.478111,5.5907903,1.8602586,5.415428,-3.1241605,66
6.779044,-16.700024,-2.6318,0.9655721,-9.329299,75
13.590085,-4.4295616,-13.346817,2.5820289,0.8294522,47
-2.335524,14.319121,-12.468561,-9.946946,2.974966,40
-8.115667,-8.481849,14.680537,1.9350567,-12.077923,92
-0.9645193,-2.1199746,14.0729,-3.9128728,5.0889044,53
-6.5478873,-8.613297,-13.344822,10.331827,2.2392015,45
-18.903002,11.04736,1.5832231,7.594324,-9.7788725,37
-14.011158,-10.041695,-9.800611,-6.0109696,1.9203762,40
20.855629,-3.6027784,3.9100428,5.1240606,2.1413162,65
-1.5101267,1.099794,-1.4854823,-6.9149313,-9.6030855,72
