ID,Ext,Agr,Con,Neu,Ope
101,2.33,3.33,3.33,1.67,3
102,3.33,4.67,3.33,3.67,3.67
103,3,4,2.67,3,2.67
104,2.33,3.33,2.33,3.67,2.33
105,3,3.33,3,3.67,2
106,1,3.67,2,4.67,3.67
107,3.33,3.67,3.67,2.67,3.67
108,2.33,3.33,2.67,4,3.67
109,3,4,3,3.67,3
110,3,4,3.33,3.33,3.33
111,2.33,3.67,2,2.67,3.33
112,3.67,1.67,2,2,3
201,2.33,2.67,1.67,2.67,2
202,2.33,2.33,2.67,2.67,3.33
203,1.67,4.33,2.67,3,3
204,2.33,3.67,1.67,4,3.33
205,2.67,4,1.33,3.33,3.33
206,4.67,4.33,1.67,3.33,4
207,2,2.67,1.33,1.67,4
208,2,3.67,1.67,4.67,1.67
209,1.33,4,2,3.33,3.33
210,4.33,3,3,4,4.67
211,3.67,2.33,1.67,3,3.33
212,2,3.33,2,3.33,3
213,2.33,2.67,2,4,2.67
215,2.67,2.33,1.67,3.67,3
216,4.33,2.33,4.67,2,3.67
301,4,4.33,3.33,2,4.33
